ncores, threads per core, updates per remote, local bytes, remote bytes, total refs,  ref/s, latency
1, 3, 1, 262144, 1073741824, 6000000, 3.45859e+07, 2.89135e-08
1, 3, 1, 4194304, 1073741824, 6000000, 2.08693e+07, 4.79172e-08
1, 3, 1, 8388608, 1073741824, 6000000, 1.96704e+07, 5.08378e-08
1, 3, 1, 16777216, 1073741824, 6000000, 1.88989e+07, 5.29132e-08
1, 3, 2, 4096, 1073741824, 9000000, 5.68096e+07, 1.76027e-08
1, 3, 2, 8192, 1073741824, 9000000, 5.6029e+07, 1.78479e-08
1, 3, 2, 16384, 1073741824, 9000000, 5.52927e+07, 1.80856e-08
1, 3, 2, 32768, 1073741824, 9000000, 5.35357e+07, 1.86791e-08
1, 3, 2, 65536, 1073741824, 9000000, 5.06897e+07, 1.97279e-08
1, 3, 2, 131072, 1073741824, 9000000, 4.8546e+07, 2.0599e-08
1, 3, 2, 262144, 1073741824, 9000000, 4.68652e+07, 2.13378e-08
1, 3, 2, 4194304, 1073741824, 9000000, 1.85934e+07, 5.37826e-08
1, 3, 2, 8388608, 1073741824, 9000000, 1.476e+07, 6.77506e-08
1, 3, 2, 16777216, 1073741824, 9000000, 1.30745e+07, 7.64849e-08
1, 3, 4, 4096, 1073741824, 15000000, 9.02674e+07, 1.10782e-08
1, 3, 4, 8192, 1073741824, 15000000, 8.84126e+07, 1.13106e-08
1, 3, 4, 16384, 1073741824, 15000000, 8.63513e+07, 1.15806e-08
1, 3, 4, 32768, 1073741824, 15000000, 8.34024e+07, 1.19901e-08
1, 3, 4, 65536, 1073741824, 15000000, 7.67377e+07, 1.30314e-08
1, 3, 4, 131072, 1073741824, 15000000, 6.98067e+07, 1.43253e-08
1, 3, 4, 262144, 1073741824, 15000000, 6.53413e+07, 1.53043e-08
1, 3, 4, 4194304, 1073741824, 15000000, 1.94317e+07, 5.14623e-08
1, 3, 4, 8388608, 1073741824, 15000000, 1.31107e+07, 7.62737e-08
1, 3, 4, 16777216, 1073741824, 15000000, 1.29495e+07, 7.72231e-08
1, 3, 8, 4096, 1073741824, 27000000, 1.47656e+08, 6.77252e-09
1, 3, 8, 8192, 1073741824, 27000000, 1.44383e+08, 6.926e-09
1, 3, 8, 16384, 1073741824, 27000000, 1.37755e+08, 7.25926e-09
1, 3, 8, 32768, 1073741824, 27000000, 1.3209e+08, 7.57059e-09
1, 3, 8, 65536, 1073741824, 27000000, 1.14003e+08, 8.77167e-09
1, 3, 8, 131072, 1073741824, 27000000, 8.72127e+07, 1.14662e-08
1, 3, 8, 262144, 1073741824, 27000000, 7.26283e+07, 1.37687e-08
1, 3, 8, 4194304, 1073741824, 27000000, 2.04591e+07, 4.88779e-08
1, 3, 8, 8388608, 1073741824, 27000000, 1.34831e+07, 7.41671e-08
1, 3, 8, 16777216, 1073741824, 27000000, 1.09557e+07, 9.12769e-08
1, 3, 16, 4096, 1073741824, 51000000, 2.16389e+08, 4.62131e-09
1, 3, 16, 8192, 1073741824, 51000000, 2.07738e+08, 4.81376e-09
1, 3, 16, 16384, 1073741824, 51000000, 1.82695e+08, 5.47361e-09
1, 3, 16, 32768, 1073741824, 51000000, 1.66552e+08, 6.00412e-09
1, 3, 16, 65536, 1073741824, 51000000, 1.2685e+08, 7.88331e-09
1, 3, 16, 131072, 1073741824, 51000000, 8.68847e+07, 1.15095e-08
1, 3, 16, 262144, 1073741824, 51000000, 6.75757e+07, 1.47982e-08
1, 3, 16, 4194304, 1073741824, 51000000, 2.25448e+07, 4.43561e-08
1, 3, 16, 8388608, 1073741824, 51000000, 1.25919e+07, 7.94162e-08
1, 3, 16, 16777216, 1073741824, 51000000, 1.01139e+07, 9.88734e-08
1, 3, 32, 4096, 1073741824, 99000000, 2.34913e+08, 4.25689e-09
1, 3, 32, 8192, 1073741824, 99000000, 2.06743e+08, 4.83692e-09
1, 3, 32, 16384, 1073741824, 99000000, 2.02621e+08, 4.93533e-09
1, 3, 32, 32768, 1073741824, 99000000, 1.80491e+08, 5.54044e-09
1, 3, 32, 65536, 1073741824, 99000000, 1.41826e+08, 7.0509e-09
1, 3, 32, 131072, 1073741824, 99000000, 8.94675e+07, 1.11772e-08
1, 3, 32, 262144, 1073741824, 99000000, 6.66779e+07, 1.49975e-08
1, 3, 32, 4194304, 1073741824, 99000000, 2.43159e+07, 4.11254e-08
1, 3, 32, 8388608, 1073741824, 99000000, 1.28006e+07, 7.81216e-08
1, 3, 32, 16777216, 1073741824, 99000000, 9.66096e+06, 1.03509e-07
1, 4, 0, 4096, 1073741824, 4000000, 2.65756e+07, 3.76285e-08
1, 4, 0, 8192, 1073741824, 4000000, 2.6561e+07, 3.76493e-08
1, 4, 0, 16384, 1073741824, 4000000, 2.6583e+07, 3.7618e-08
1, 4, 0, 32768, 1073741824, 4000000, 2.66127e+07, 3.7576e-08
1, 4, 0, 65536, 1073741824, 4000000, 2.65897e+07, 3.76085e-08
1, 4, 0, 131072, 1073741824, 4000000, 2.65973e+07, 3.75977e-08
1, 4, 0, 262144, 1073741824, 4000000, 2.6617e+07, 3.757e-08
1, 4, 0, 4194304, 1073741824, 4000000, 2.65788e+07, 3.7624e-08
1, 4, 0, 8388608, 1073741824, 4000000, 2.65979e+07, 3.7597e-08
1, 4, 0, 16777216, 1073741824, 4000000, 2.65972e+07, 3.7598e-08
1, 4, 1, 4096, 1073741824, 8000000, 5.04799e+07, 1.98099e-08
1, 4, 1, 8192, 1073741824, 8000000, 5.01121e+07, 1.99552e-08
1, 4, 1, 16384, 1073741824, 8000000, 4.8998e+07, 2.0409e-08
1, 4, 1, 32768, 1073741824, 8000000, 4.76872e+07, 2.097e-08
1, 4, 1, 65536, 1073741824, 8000000, 4.64522e+07, 2.15275e-08
1, 4, 1, 131072, 1073741824, 8000000, 4.55718e+07, 2.19434e-08
1, 4, 1, 262144, 1073741824, 8000000, 4.38681e+07, 2.27956e-08
1, 4, 1, 4194304, 1073741824, 8000000, 2.27984e+07, 4.38628e-08
1, 4, 1, 8388608, 1073741824, 8000000, 2.12998e+07, 4.69487e-08
1, 4, 1, 16777216, 1073741824, 8000000, 1.99516e+07, 5.01214e-08
1, 4, 2, 4096, 1073741824, 12000000, 7.36142e+07, 1.35843e-08
1, 4, 2, 8192, 1073741824, 12000000, 7.28916e+07, 1.3719e-08
1, 4, 2, 16384, 1073741824, 12000000, 7.10597e+07, 1.40727e-08
1, 4, 2, 32768, 1073741824, 12000000, 6.78338e+07, 1.47419e-08
1, 4, 2, 65536, 1073741824, 12000000, 6.40376e+07, 1.56158e-08
1, 4, 2, 131072, 1073741824, 12000000, 6.18828e+07, 1.61596e-08
1, 4, 2, 262144, 1073741824, 12000000, 5.89637e+07, 1.69596e-08
1, 4, 2, 4194304, 1073741824, 12000000, 2.0868e+07, 4.79202e-08
1, 4, 2, 8388608, 1073741824, 12000000, 1.80941e+07, 5.52667e-08
1, 4, 2, 16777216, 1073741824, 12000000, 1.57558e+07, 6.34688e-08
1, 4, 4, 4096, 1073741824, 20000000, 1.16398e+08, 8.5912e-09
